Config,Workload,Power [W],Build
lucy_gles_filament,100,10.56,6691
lucy_gles_filament,100,9.71,6691
lucy_gles_ue4,100,10.54,6693
lucy_gles_ue4,100,10.38,6693
lucy_vk_filament,100,6.34,6692
lucy_vk_filament,100,7.86,6692
lucy_vk_ue4,100,8.06,6696
lucy_vk_ue4,100,6.53,6696
suzanne_gles_filament,100,10.21,6689
suzanne_gles_filament,100,10.4,6689
suzanne_gles_ue4,100,10.68,6695
suzanne_gles_ue4,100,10.66,6695
suzanne_vk_filament,100,6.54,6690
suzanne_vk_filament,100,6.28,6690
suzanne_vk_ue4,100,8.16,6694
suzanne_vk_ue4,100,8.18,6694
lucy_gles_filament,10,9.49,6719
lucy_gles_filament,10,9.51,6719
lucy_gles_ue4,10,9.52,6733
lucy_gles_ue4,10,8.83,6733
lucy_vk_filament,10,6.15,6720
lucy_vk_filament,10,8.92,6720
lucy_vk_ue4,10,5.85,6736
lucy_vk_ue4,10,5.77,6736
suzanne_gles_filament,10,9.32,6717
suzanne_gles_filament,10,9.32,6717
suzanne_gles_ue4,10,9.59,6735
suzanne_gles_ue4,10,9.5,6735
suzanne_vk_filament,10,7.52,6718
suzanne_vk_filament,10,7.43,6718
suzanne_vk_ue4,10,7.37,6734
suzanne_vk_ue4,10,9.58,6734
